location_id,on_date,min_temp_c,max_temp_c,precip_mm,conditions,source
30,2025-10-25,25.2,28.2,18.4,Unknown,Open-Meteo
30,2025-10-26,24.9,29.9,1.6,Moderate drizzle,Open-Meteo
31,2025-10-20,6.6,9.3,8.5,Light rain,Open-Meteo
31,2025-10-21,6.9,13.4,0.0,Cloudy,Open-Meteo
31,2025-10-22,9.0,14.3,0.0,Cloudy,Open-Meteo
31,2025-10-23,9.6,12.8,1.8,Light drizzle,Open-Meteo
31,2025-10-24,8.9,11.0,7.6,Unknown,Open-Meteo
31,2025-10-25,7.4,14.0,0.4,Light drizzle,Open-Meteo
31,2025-10-26,7.3,18.2,0.0,Cloudy,Open-Meteo
32,2025-10-20,19.7,32.5,0.0,Clear,Open-Meteo
32,2025-10-21,19.7,31.9,0.0,Mainly clear,Open-Meteo
32,2025-10-22,19.3,31.3,0.0,Clear,Open-Meteo
32,2025-10-23,19.4,32.3,0.0,Clear,Open-Meteo
32,2025-10-24,19.0,32.2,0.0,Clear,Open-Meteo
32,2025-10-25,18.4,31.9,0.0,Clear,Open-Meteo
32,2025-10-26,17.6,31.1,0.0,Clear,Open-Meteo
33,2025-10-20,14.8,18.4,11.1,Moderate rain,Open-Meteo
33,2025-10-21,15.4,18.9,0.2,Light drizzle,Open-Meteo
33,2025-10-22,13.7,21.4,0.0,Cloudy,Open-Meteo
33,2025-10-23,14.6,21.2,0.0,Cloudy,Open-Meteo
33,2025-10-24,14.3,18.6,2.5,Moderate drizzle,Open-Meteo
33,2025-10-25,14.8,18.0,1.3,Light drizzle,Open-Meteo
33,2025-10-26,15.2,19.1,3.4,Unknown,Open-Meteo
34,2025-10-20,11.7,26.9,0.0,Cloudy,Open-Meteo
34,2025-10-21,10.7,26.2,0.0,Partly cloudy,Open-Meteo
34,2025-10-22,12.1,22.9,0.3,Light drizzle,Open-Meteo
34,2025-10-23,10.5,23.1,0.0,Clear,Open-Meteo
34,2025-10-24,11.5,25.3,0.0,Mainly clear,Open-Meteo
34,2025-10-25,13.1,21.4,0.0,Cloudy,Open-Meteo
34,2025-10-26,12.2,20.5,0.0,Cloudy,Open-Meteo
35,2025-10-20,11.6,14.7,3.4,Unknown,Open-Meteo
35,2025-10-21,11.0,15.4,0.2,Light drizzle,Open-Meteo
35,2025-10-22,9.0,14.7,9.9,Moderate rain,Open-Meteo
35,2025-10-23,7.0,11.8,14.2,Moderate rain,Open-Meteo
35,2025-10-24,5.9,12.0,0.0,Cloudy,Open-Meteo
35,2025-10-25,6.4,11.9,1.1,Moderate drizzle,Open-Meteo
35,2025-10-26,5.0,11.2,0.7,Light drizzle,Open-Meteo
36,2025-10-20,13.3,17.5,3.3,Unknown,Open-Meteo
36,2025-10-21,12.2,16.9,0.8,Light drizzle,Open-Meteo
36,2025-10-22,12.2,16.5,4.6,Light rain,Open-Meteo
36,2025-10-23,8.0,16.2,2.6,Unknown,Open-Meteo
36,2025-10-24,6.5,13.0,1.3,Light rain,Open-Meteo
36,2025-10-25,8.7,13.9,3.4,Moderate rain,Open-Meteo
36,2025-10-26,7.0,11.5,0.2,Light drizzle,Open-Meteo
37,2025-10-20,7.3,11.9,0.0,Cloudy,Open-Meteo
37,2025-10-21,5.0,13.4,0.0,Partly cloudy,Open-Meteo
37,2025-10-22,6.1,15.0,0.0,Cloudy,Open-Meteo
37,2025-10-23,7.5,16.3,0.0,Cloudy,Open-Meteo
37,2025-10-24,7.6,15.7,0.0,Cloudy,Open-Meteo
37,2025-10-25,8.6,12.0,4.3,Moderate drizzle,Open-Meteo
37,2025-10-26,5.1,16.1,0.0,Cloudy,Open-Meteo
38,2025-10-20,20.4,30.1,0.0,Cloudy,Open-Meteo
38,2025-10-21,17.9,23.7,0.3,Light drizzle,Open-Meteo
38,2025-10-22,16.5,18.9,6.6,Moderate drizzle,Open-Meteo
38,2025-10-23,17.3,22.8,0.1,Light drizzle,Open-Meteo
38,2025-10-24,19.3,24.5,0.0,Cloudy,Open-Meteo
38,2025-10-25,21.3,27.7,0.0,Cloudy,Open-Meteo
38,2025-10-26,20.3,30.2,0.0,Cloudy,Open-Meteo
39,2025-10-20,1.9,9.7,0.0,Cloudy,Open-Meteo
39,2025-10-21,3.0,11.6,0.0,Cloudy,Open-Meteo
39,2025-10-22,4.5,10.5,0.1,Light drizzle,Open-Meteo
39,2025-10-23,5.7,11.8,0.0,Cloudy,Open-Meteo
39,2025-10-24,6.9,13.7,0.0,Cloudy,Open-Meteo
39,2025-10-25,5.9,16.0,0.1,Light drizzle,Open-Meteo
39,2025-10-26,3.0,13.5,0.0,Mainly clear,Open-Meteo
40,2025-10-20,22.4,29.4,1.6,Moderate drizzle,Open-Meteo
40,2025-10-21,22.4,29.1,2.1,Moderate drizzle,Open-Meteo
40,2025-10-22,22.4,29.5,9.9,Moderate rain,Open-Meteo
